place,movie_title,rating,year,imdb_id,star_cast
1,The Shawshank Redemption,9.235644441481037,1994,111161,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155929990976578,1972,68646,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.991204033773323,2008,468569,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.983891930695316,1974,71562,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.95276980577397,1957,50083,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.939761166861613,1993,108052,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.931815960320119,2003,167260,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.846720563921739,1994,110912,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.810600961126392,2001,120737,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," The Good, the Bad and the Ugly",8.78936898200647,1966,60196,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766832283317768,1994,109830,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.748011611324992,1999,137523,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.736197945777935,2002,167261,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.732716534022089,2010,1375666,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,Star Wars: Episode V - The Empire Strikes Back,8.698588954809006,1980,80684,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.669188864506111,1999,133093,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.652909360827069,1990,99685,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.63819364390633,1975,73486,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604521312766455,1995,114369,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Seven Samurai,8.597909829216759,1954,47478,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.597497175297779,1946,38650,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588295803143506,1991,102926,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.579491551915337,1998,120815,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,City of God,8.579388471012287,2002,317248,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.57076263711179,2014,816692,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,Life Is Beautiful,8.568498098668506,1997,118799,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.563231409452682,1999,120689,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.548224361333428,1977,76759,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.537875847147461,1991,103064,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517774307831088,1985,88763,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Spirited Away,8.515974041771374,2001,245429,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.507466684906486,2002,253474,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psycho,8.506449900898929,1960,54215,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Parasite,8.499808247094494,2019,6751668,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon: The Professional,8.493380737741852,1994,110413,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.487895088784091,1994,110357,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.486997514237672,2000,172495,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.481775477903705,1998,120586,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.47612652115437,2006,407887,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.46961639025438,1995,114814,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.469230835380163,2006,482571,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Whiplash,8.468382856013308,2014,2582802,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,Casablanca,8.461602292560935,1942,34583,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Harakiri,8.456190976086285,1962,56058,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
45,Grave of the Fireflies,8.456005038730238,1988,95327,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
46,The Intouchables,8.453656190437938,2011,1675434,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.447001559785782,1936,27977,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.440989139728734,1968,64116,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.43547853337078,1954,47396,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Cinema Paradiso,8.435185677968255,1988,95765,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
51,Alien,8.433363346024853,1979,78748,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.432397014975386,1931,21749,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.423035469541366,1979,78788,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.41970157172942,2000,209144,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Unchained,8.408756616974454,2012,1853728,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Raiders of the Lost Ark,8.406355632130422,1981,82971,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.395194143326798,2008,910970,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.383960859483713,2006,405094,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.37896002584249,1950,43014,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371657752228842,1957,50825,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.365006475898593,1980,81505,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.364056833643117,1940,32553,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.36164913724103,2018,4154756,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359313257646697,1957,51201,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.34306791712071,1986,90605,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.337847699719996,2018,4633694,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.33064189567189,1999,169547,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.327677793290453,1964,57012,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.326212420575846,2012,1345836,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Oldboy,8.320225208826018,2003,364569,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71,Inglourious Basterds,8.318022988462815,2009,361748,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
72,Amadeus,8.316354505446602,1984,86879,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
73,Coco,8.31520013269749,2017,2380307,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,Toy Story,8.313930708292736,1995,114709,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Joker,8.313034773803787,2019,7286456,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
76,Braveheart,8.31266725045699,1995,112573,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
77,The Boat,8.311953440833312,1981,82096,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.303889671858588,2019,4154796,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Princess Mononoke,8.303290486790956,1997,119698,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.294819047877906,1984,87843,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Good Will Hunting,8.29254503689362,1997,119217,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82,Your Name,8.28261936406648,2016,5311514,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
83,Singin' in the Rain,8.275183517427989,1952,45152,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
84,3 Idiots,8.275062436423376,2009,1187043,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Requiem for a Dream,8.273897258432251,2000,180093,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
86,High and Low,8.272003275098244,1963,57565,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Toy Story 3,8.271146128703784,2010,435761,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Capernaum,8.266780348568076,2018,8267604,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Star Wars: Episode VI - Return of the Jedi,8.264197522984928,1983,86190,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,Eternal Sunshine of the Spotless Mind,8.261805437162609,2004,338013,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,2001: A Space Odyssey,8.261762777352757,1968,62622,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
92,Reservoir Dogs,8.259266984605247,1992,105236,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
93,Come and See,8.258447839236943,1985,91251,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
94,The Hunt,8.257233752638163,2012,2106476,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Citizen Kane,8.250408682626205,1941,33467,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,M,8.25032836022284,1931,22100,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
97,Lawrence of Arabia,8.249855396485462,1962,56172,"David Lean (dir.), Peter O'Toole, Alec Guinness"
98,North by Northwest,8.245966386555011,1959,53125,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Ikiru,8.24318241613864,1952,44741,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
10, Vertigo,8.242828392754598,1958,52357,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,The Apartment,8.241785899649225,1960,53604,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
102,Amélie,8.24136493203708,2001,211915,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
103,A Clockwork Orange,8.238914150607336,1971,66921,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
104,Double Indemnity,8.237729923361181,1944,36775,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,Full Metal Jacket,8.237143768126368,1987,93058,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Scarface,8.234586923706868,1983,86250,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Hamilton,8.232994300512022,2020,8503618,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,Top Gun: Maverick,8.227234768274489,2022,1745960,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
109,Incendies,8.226856194626619,2010,1255953,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
110,To Kill a Mockingbird,8.225698155077463,1962,56592,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111,Heat,8.225343016381945,1995,113277,"Michael Mann (dir.), Al Pacino, Robert De Niro"
112,The Sting,8.22476001373145,1973,70735,"George Roy Hill (dir.), Paul Newman, Robert Redford"
113,Up,8.224653994068232,2009,1049413,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
114,A Separation,8.221477862976853,2011,1832382,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
115,Metropolis,8.22069688282618,1927,17136,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,Taxi Driver,8.219916789449602,1976,75314,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
117,LA Confidential,8.218790600542533,1997,119488,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
118,Die Hard,8.217735740861803,1988,95016,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
119,Snatch,8.217186477688065,2000,208092,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Indiana Jones and the Last Crusade,8.216722483059755,1989,97576,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,Bicycle Thieves,8.215927882467897,1948,40522,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,Like Stars on Earth,8.212824766217368,2007,986264,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,1917,8.211064745014603,2019,8579674,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Downfall,8.203318590721956,2004,363163,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
